Geographic Unit,Geographic ID,Geographic Name,State Median Income Bracket,Age Group,Childcare Subsidized ,Private Care Estimate,Estimated Children Receiving Childcare,Estimate of Unserved,Percent Need Met
County,53001,Adams County,<=60% of SMI,Infant,18,14,32,245,11.6
County,53001,Adams County,>60% and <=75% of SMI,Infant,0,0,0,14,0.0
County,53001,Adams County,>75% and <=85% of SMI,Infant,0,0,0,8,0.0
County,53001,Adams County,>85% of SMI,Infant,0,4,4,38,9.5
County,53001,Adams County,<=60% of SMI,Preschool,220,23,243,469,34.1
County,53001,Adams County,>60% and <=75% of SMI,Preschool,0,2,2,60,3.2
County,53001,Adams County,>75% and <=85% of SMI,Preschool,0,0,0,20,0.0
County,53001,Adams County,>85% of SMI,Preschool,,11,,100,
County,53001,Adams County,<=60% of SMI,School Age,154,58,212,2178,8.9
County,53001,Adams County,>60% and <=75% of SMI,School Age,0,5,5,219,2.2
County,53001,Adams County,>75% and <=85% of SMI,School Age,0,2,2,86,2.3
County,53001,Adams County,>85% of SMI,School Age,0,30,30,325,8.5
County,53001,Adams County,<=60% of SMI,Toddler,91,12,103,445,18.8
County,53001,Adams County,>60% and <=75% of SMI,Toddler,,0,,32,
County,53001,Adams County,>75% and <=85% of SMI,Toddler,0,1,1,13,7.1
County,53001,Adams County,>85% of SMI,Toddler,,11,,79,
County,53003,Asotin County,<=60% of SMI,Infant,26,5,31,108,22.3
County,53003,Asotin County,>60% and <=75% of SMI,Infant,0,3,3,21,12.5
County,53003,Asotin County,>75% and <=85% of SMI,Infant,0,1,1,22,4.3
County,53003,Asotin County,>85% of SMI,Infant,0,16,16,30,34.8
County,53003,Asotin County,<=60% of SMI,Preschool,113,19,132,225,37.0
County,53003,Asotin County,>60% and <=75% of SMI,Preschool,0,12,12,63,16.0
County,53003,Asotin County,>75% and <=85% of SMI,Preschool,0,6,6,38,13.6
County,53003,Asotin County,>85% of SMI,Preschool,0,63,63,67,48.5
County,53003,Asotin County,<=60% of SMI,School Age,63,16,79,1013,7.2
County,53003,Asotin County,>60% and <=75% of SMI,School Age,,2,,207,
County,53003,Asotin County,>75% and <=85% of SMI,School Age,0,0,0,133,0.0
County,53003,Asotin County,>85% of SMI,School Age,0,6,6,267,2.2
County,53003,Asotin County,<=60% of SMI,Toddler,63,6,69,204,25.3
County,53003,Asotin County,>60% and <=75% of SMI,Toddler,0,6,6,61,9.0
County,53003,Asotin County,>75% and <=85% of SMI,Toddler,0,1,1,21,4.5
County,53003,Asotin County,>85% of SMI,Toddler,0,23,23,70,24.7
County,53005,Benton County,<=60% of SMI,Infant,113,53,166,1314,11.2
County,53005,Benton County,>60% and <=75% of SMI,Infant,,21,,325,
County,53005,Benton County,>75% and <=85% of SMI,Infant,0,13,13,157,7.6
County,53005,Benton County,>85% of SMI,Infant,0,67,67,708,8.6
County,53005,Benton County,<=60% of SMI,Preschool,1467,190,1657,2203,42.9
County,53005,Benton County,>60% and <=75% of SMI,Preschool,12,74,86,826,9.4
County,53005,Benton County,>75% and <=85% of SMI,Preschool,,49,,413,
County,53005,Benton County,>85% of SMI,Preschool,7,351,358,1675,17.6
County,53005,Benton County,<=60% of SMI,School Age,843,451,1294,9629,11.8
County,53005,Benton County,>60% and <=75% of SMI,School Age,6,146,152,2584,5.6
County,53005,Benton County,>75% and <=85% of SMI,School Age,,82,,1534,
County,53005,Benton County,>85% of SMI,School Age,0,732,732,6967,9.5
County,53005,Benton County,<=60% of SMI,Toddler,486,135,621,2328,21.1
County,53005,Benton County,>60% and <=75% of SMI,Toddler,,44,,612,
County,53005,Benton County,>75% and <=85% of SMI,Toddler,0,35,35,315,10.0
County,53005,Benton County,>85% of SMI,Toddler,,232,,1338,
County,53007,Chelan County,<=60% of SMI,Infant,45,45,90,428,17.4
County,53007,Chelan County,>60% and <=75% of SMI,Infant,,13,,108,
County,53007,Chelan County,>75% and <=85% of SMI,Infant,0,6,6,63,8.7
County,53007,Chelan County,>85% of SMI,Infant,0,36,36,160,18.4
County,53007,Chelan County,<=60% of SMI,Preschool,521,87,608,769,44.2
County,53007,Chelan County,>60% and <=75% of SMI,Preschool,8,43,51,289,15.0
County,53007,Chelan County,>75% and <=85% of SMI,Preschool,,22,,154,
County,53007,Chelan County,>85% of SMI,Preschool,0,147,147,399,26.9
County,53007,Chelan County,<=60% of SMI,School Age,325,168,493,3611,12.0
County,53007,Chelan County,>60% and <=75% of SMI,School Age,,35,,758,
County,53007,Chelan County,>75% and <=85% of SMI,School Age,0,24,24,407,5.6
County,53007,Chelan County,>85% of SMI,School Age,0,236,236,1654,12.5
County,53007,Chelan County,<=60% of SMI,Toddler,171,92,263,782,25.2
County,53007,Chelan County,>60% and <=75% of SMI,Toddler,,35,,225,
County,53007,Chelan County,>75% and <=85% of SMI,Toddler,0,20,20,111,15.3
County,53007,Chelan County,>85% of SMI,Toddler,,90,,311,
County,53009,Clallam County,<=60% of SMI,Infant,19,10,29,371,7.2
County,53009,Clallam County,>60% and <=75% of SMI,Infant,0,1,1,71,1.4
County,53009,Clallam County,>75% and <=85% of SMI,Infant,0,5,5,28,15.2
County,53009,Clallam County,>85% of SMI,Infant,0,23,23,140,14.1
County,53009,Clallam County,<=60% of SMI,Preschool,350,60,410,659,38.4
County,53009,Clallam County,>60% and <=75% of SMI,Preschool,,18,,152,
County,53009,Clallam County,>75% and <=85% of SMI,Preschool,0,8,8,74,9.8
County,53009,Clallam County,>85% of SMI,Preschool,0,109,109,326,25.1
County,53009,Clallam County,<=60% of SMI,School Age,111,100,211,2931,6.7
County,53009,Clallam County,>60% and <=75% of SMI,School Age,,15,,462,
County,53009,Clallam County,>75% and <=85% of SMI,School Age,0,10,10,228,4.2
County,53009,Clallam County,>85% of SMI,School Age,0,49,49,1231,3.8
County,53009,Clallam County,<=60% of SMI,Toddler,72,48,120,664,15.3
County,53009,Clallam County,>60% and <=75% of SMI,Toddler,,15,,122,
County,53009,Clallam County,>75% and <=85% of SMI,Toddler,0,7,7,63,10.0
County,53009,Clallam County,>85% of SMI,Toddler,0,53,53,276,16.1
County,53011,Clark County,<=60% of SMI,Infant,126,79,205,2660,7.2
County,53011,Clark County,>60% and <=75% of SMI,Infant,0,41,41,652,5.9
County,53011,Clark County,>75% and <=85% of SMI,Infant,0,27,27,377,6.7
County,53011,Clark County,>85% of SMI,Infant,,173,,1666,
County,53011,Clark County,<=60% of SMI,Preschool,2086,434,2520,4956,33.7
County,53011,Clark County,>60% and <=75% of SMI,Preschool,26,214,240,1655,12.7
County,53011,Clark County,>75% and <=85% of SMI,Preschool,9,128,137,899,13.2
County,53011,Clark County,>85% of SMI,Preschool,21,1060,1081,3816,22.1
County,53011,Clark County,<=60% of SMI,School Age,969,416,1385,20272,6.4
County,53011,Clark County,>60% and <=75% of SMI,School Age,,170,,6068,
County,53011,Clark County,>75% and <=85% of SMI,School Age,0,97,97,3260,2.9
County,53011,Clark County,>85% of SMI,School Age,,947,,15317,
County,53011,Clark County,<=60% of SMI,Toddler,605,293,898,4741,15.9
County,53011,Clark County,>60% and <=75% of SMI,Toddler,9,149,158,1301,10.8
County,53011,Clark County,>75% and <=85% of SMI,Toddler,,82,,690,
County,53011,Clark County,>85% of SMI,Toddler,,602,,3112,
County,53013,Columbia County,<=60% of SMI,Infant,,2,,15,
County,53013,Columbia County,>60% and <=75% of SMI,Infant,0,0,0,6,0.0
County,53013,Columbia County,>75% and <=85% of SMI,Infant,0,1,1,1,50.0
County,53013,Columbia County,>85% of SMI,Infant,0,0,0,13,0.0
County,53013,Columbia County,<=60% of SMI,Preschool,18,1,19,34,35.8
County,53013,Columbia County,>60% and <=75% of SMI,Preschool,,0,,10,
County,53013,Columbia County,>75% and <=85% of SMI,Preschool,0,1,1,8,11.1
County,53013,Columbia County,>85% of SMI,Preschool,0,4,4,35,10.3
County,53013,Columbia County,<=60% of SMI,School Age,,2,,140,
County,53013,Columbia County,>60% and <=75% of SMI,School Age,0,0,0,32,0.0
County,53013,Columbia County,>75% and <=85% of SMI,School Age,0,0,0,19,0.0
County,53013,Columbia County,>85% of SMI,School Age,0,5,5,117,4.1
County,53013,Columbia County,<=60% of SMI,Toddler,,1,,27,
County,53013,Columbia County,>60% and <=75% of SMI,Toddler,0,0,0,13,0.0
County,53013,Columbia County,>75% and <=85% of SMI,Toddler,0,0,0,2,0.0
County,53013,Columbia County,>85% of SMI,Toddler,0,1,1,27,3.6
County,53015,Cowlitz County,<=60% of SMI,Infant,31,21,52,721,6.7
County,53015,Cowlitz County,>60% and <=75% of SMI,Infant,0,6,6,133,4.3
County,53015,Cowlitz County,>75% and <=85% of SMI,Infant,0,4,4,71,5.3
County,53015,Cowlitz County,>85% of SMI,Infant,0,27,27,235,10.3
County,53015,Cowlitz County,<=60% of SMI,Preschool,600,167,767,1239,38.2
County,53015,Cowlitz County,>60% and <=75% of SMI,Preschool,,40,,376,
County,53015,Cowlitz County,>75% and <=85% of SMI,Preschool,0,19,19,164,10.4
County,53015,Cowlitz County,>85% of SMI,Preschool,0,157,157,541,22.5
County,53015,Cowlitz County,<=60% of SMI,School Age,244,119,363,5336,6.4
County,53015,Cowlitz County,>60% and <=75% of SMI,School Age,,30,,1163,
County,53015,Cowlitz County,>75% and <=85% of SMI,School Age,,13,,595,
County,53015,Cowlitz County,>85% of SMI,School Age,0,87,87,2402,3.5
County,53015,Cowlitz County,<=60% of SMI,Toddler,205,83,288,1203,19.3
County,53015,Cowlitz County,>60% and <=75% of SMI,Toddler,,17,,298,
County,53015,Cowlitz County,>75% and <=85% of SMI,Toddler,,13,,132,
County,53015,Cowlitz County,>85% of SMI,Toddler,0,103,103,413,20.0
County,53017,Douglas County,<=60% of SMI,Infant,40,19,59,253,18.9
County,53017,Douglas County,>60% and <=75% of SMI,Infant,0,7,7,61,10.3
County,53017,Douglas County,>75% and <=85% of SMI,Infant,0,3,3,36,7.7
County,53017,Douglas County,>85% of SMI,Infant,0,12,12,62,16.2
County,53017,Douglas County,<=60% of SMI,Preschool,294,46,340,471,41.9
County,53017,Douglas County,>60% and <=75% of SMI,Preschool,,17,,168,
County,53017,Douglas County,>75% and <=85% of SMI,Preschool,0,13,13,79,14.1
County,53017,Douglas County,>85% of SMI,Preschool,0,39,39,159,19.7
County,53017,Douglas County,<=60% of SMI,School Age,214,108,322,2613,11.0
County,53017,Douglas County,>60% and <=75% of SMI,School Age,,23,,466,
County,53017,Douglas County,>75% and <=85% of SMI,School Age,0,8,8,156,4.9
County,53017,Douglas County,>85% of SMI,School Age,0,125,125,1264,9.0
County,53017,Douglas County,<=60% of SMI,Toddler,126,30,156,462,25.2
County,53017,Douglas County,>60% and <=75% of SMI,Toddler,,11,,130,
County,53017,Douglas County,>75% and <=85% of SMI,Toddler,0,11,11,73,13.1
County,53017,Douglas County,>85% of SMI,Toddler,0,28,28,122,18.7
County,53019,Ferry County,<=60% of SMI,Infant,0,4,4,44,8.3
County,53019,Ferry County,>60% and <=75% of SMI,Infant,0,1,1,3,25.0
County,53019,Ferry County,>75% and <=85% of SMI,Infant,0,0,0,1,0.0
County,53019,Ferry County,>85% of SMI,Infant,0,1,1,10,9.1
County,53019,Ferry County,<=60% of SMI,Preschool,39,9,48,77,38.4
County,53019,Ferry County,>60% and <=75% of SMI,Preschool,0,1,1,13,7.1
County,53019,Ferry County,>75% and <=85% of SMI,Preschool,,0,,4,
County,53019,Ferry County,>85% of SMI,Preschool,,2,,24,
County,53019,Ferry County,<=60% of SMI,School Age,9,12,21,304,6.5
County,53019,Ferry County,>60% and <=75% of SMI,School Age,0,0,0,24,0.0
County,53019,Ferry County,>75% and <=85% of SMI,School Age,0,0,0,3,0.0
County,53019,Ferry County,>85% of SMI,School Age,0,1,1,185,0.5
County,53019,Ferry County,<=60% of SMI,Toddler,,3,,91,
County,53019,Ferry County,>60% and <=75% of SMI,Toddler,0,0,0,8,0.0
County,53019,Ferry County,>75% and <=85% of SMI,Toddler,0,2,2,3,40.0
County,53019,Ferry County,>85% of SMI,Toddler,0,0,0,21,0.0
County,53021,Franklin County,<=60% of SMI,Infant,69,43,112,954,10.5
County,53021,Franklin County,>60% and <=75% of SMI,Infant,0,4,4,185,2.1
County,53021,Franklin County,>75% and <=85% of SMI,Infant,0,3,3,79,3.7
County,53021,Franklin County,>85% of SMI,Infant,0,20,20,247,7.5
County,53021,Franklin County,<=60% of SMI,Preschool,963,140,1103,1729,38.9
County,53021,Franklin County,>60% and <=75% of SMI,Preschool,8,31,39,455,7.9
County,53021,Franklin County,>75% and <=85% of SMI,Preschool,,17,,182,
County,53021,Franklin County,>85% of SMI,Preschool,7,117,124,570,17.9
County,53021,Franklin County,<=60% of SMI,School Age,523,344,867,6355,12.0
County,53021,Franklin County,>60% and <=75% of SMI,School Age,,77,,1349,
County,53021,Franklin County,>75% and <=85% of SMI,School Age,0,33,33,719,4.4
County,53021,Franklin County,>85% of SMI,School Age,0,226,226,2347,8.8
County,53021,Franklin County,<=60% of SMI,Toddler,290,92,382,1771,17.7
County,53021,Franklin County,>60% and <=75% of SMI,Toddler,,24,,326,
County,53021,Franklin County,>75% and <=85% of SMI,Toddler,0,14,14,160,8.0
County,53021,Franklin County,>85% of SMI,Toddler,0,61,61,471,11.5
County,53023,Garfield County,<=60% of SMI,Infant,0,0,0,17,0.0
County,53023,Garfield County,>60% and <=75% of SMI,Infant,0,0,0,3,0.0
County,53023,Garfield County,>75% and <=85% of SMI,Infant,0,0,0,1,0.0
County,53023,Garfield County,>85% of SMI,Infant,0,0,0,2,0.0
County,53023,Garfield County,<=60% of SMI,Preschool,0,0,0,39,0.0
County,53023,Garfield County,>60% and <=75% of SMI,Preschool,0,0,0,8,0.0
County,53023,Garfield County,>75% and <=85% of SMI,Preschool,0,0,0,4,0.0
County,53023,Garfield County,>85% of SMI,Preschool,0,0,0,9,0.0
County,53023,Garfield County,<=60% of SMI,School Age,,0,,118,
County,53023,Garfield County,>60% and <=75% of SMI,School Age,0,0,0,33,0.0
County,53023,Garfield County,>75% and <=85% of SMI,School Age,0,0,0,16,0.0
County,53023,Garfield County,>85% of SMI,School Age,0,0,0,5,0.0
County,53023,Garfield County,<=60% of SMI,Toddler,,0,,31,
County,53023,Garfield County,>60% and <=75% of SMI,Toddler,0,0,0,4,0.0
County,53023,Garfield County,>75% and <=85% of SMI,Toddler,0,0,0,0,
County,53023,Garfield County,>85% of SMI,Toddler,0,0,0,5,0.0
County,53025,Grant County,<=60% of SMI,Infant,90,91,181,797,18.5
County,53025,Grant County,>60% and <=75% of SMI,Infant,0,21,21,158,11.7
County,53025,Grant County,>75% and <=85% of SMI,Infant,0,7,7,94,6.9
County,53025,Grant County,>85% of SMI,Infant,0,33,33,144,18.6
County,53025,Grant County,<=60% of SMI,Preschool,1058,160,1218,1402,46.5
County,53025,Grant County,>60% and <=75% of SMI,Preschool,8,58,66,416,13.7
County,53025,Grant County,>75% and <=85% of SMI,Preschool,,30,,201,
County,53025,Grant County,>85% of SMI,Preschool,,102,,373,
County,53025,Grant County,<=60% of SMI,School Age,565,283,848,7090,10.7
County,53025,Grant County,>60% and <=75% of SMI,School Age,,52,,1546,
County,53025,Grant County,>75% and <=85% of SMI,School Age,0,39,39,826,4.5
County,53025,Grant County,>85% of SMI,School Age,0,68,68,1702,3.8
County,53025,Grant County,<=60% of SMI,Toddler,353,178,531,1453,26.8
County,53025,Grant County,>60% and <=75% of SMI,Toddler,,51,,312,
County,53025,Grant County,>75% and <=85% of SMI,Toddler,0,28,28,148,15.9
County,53025,Grant County,>85% of SMI,Toddler,0,65,65,290,18.3
County,53027,Grays Harbor County,<=60% of SMI,Infant,23,21,44,430,9.3
County,53027,Grays Harbor County,>60% and <=75% of SMI,Infant,,5,,61,
County,53027,Grays Harbor County,>75% and <=85% of SMI,Infant,0,2,2,41,4.7
County,53027,Grays Harbor County,>85% of SMI,Infant,0,13,13,87,13.0
County,53027,Grays Harbor County,<=60% of SMI,Preschool,552,99,651,563,53.6
County,53027,Grays Harbor County,>60% and <=75% of SMI,Preschool,7,25,32,182,15.0
County,53027,Grays Harbor County,>75% and <=85% of SMI,Preschool,0,11,11,90,10.9
County,53027,Grays Harbor County,>85% of SMI,Preschool,,68,,182,
County,53027,Grays Harbor County,<=60% of SMI,School Age,196,91,287,4018,6.7
County,53027,Grays Harbor County,>60% and <=75% of SMI,School Age,,18,,984,
County,53027,Grays Harbor County,>75% and <=85% of SMI,School Age,0,8,8,453,1.7
County,53027,Grays Harbor County,>85% of SMI,School Age,0,33,33,873,3.6
County,53027,Grays Harbor County,<=60% of SMI,Toddler,136,49,185,726,20.3
County,53027,Grays Harbor County,>60% and <=75% of SMI,Toddler,,15,,149,
County,53027,Grays Harbor County,>75% and <=85% of SMI,Toddler,0,9,9,73,11.0
County,53027,Grays Harbor County,>85% of SMI,Toddler,0,36,36,163,18.1
County,53029,Island County,<=60% of SMI,Infant,9,10,19,452,4.0
County,53029,Island County,>60% and <=75% of SMI,Infant,0,5,5,123,3.9
County,53029,Island County,>75% and <=85% of SMI,Infant,0,3,3,72,4.0
County,53029,Island County,>85% of SMI,Infant,0,9,9,200,4.3
County,53029,Island County,<=60% of SMI,Preschool,206,56,262,997,20.8
County,53029,Island County,>60% and <=75% of SMI,Preschool,,27,,306,
County,53029,Island County,>75% and <=85% of SMI,Preschool,,19,,161,
County,53029,Island County,>85% of SMI,Preschool,,96,,437,
County,53029,Island County,<=60% of SMI,School Age,74,69,143,3127,4.4
County,53029,Island County,>60% and <=75% of SMI,School Age,,30,,1033,
County,53029,Island County,>75% and <=85% of SMI,School Age,0,17,17,532,3.1
County,53029,Island County,>85% of SMI,School Age,0,121,121,1423,7.8
County,53029,Island County,<=60% of SMI,Toddler,53,34,87,868,9.1
County,53029,Island County,>60% and <=75% of SMI,Toddler,,15,,238,
County,53029,Island County,>75% and <=85% of SMI,Toddler,0,7,7,127,5.2
County,53029,Island County,>85% of SMI,Toddler,0,64,64,363,15.0
County,53031,Jefferson County,<=60% of SMI,Infant,10,7,17,88,16.2
County,53031,Jefferson County,>60% and <=75% of SMI,Infant,0,1,1,11,8.3
County,53031,Jefferson County,>75% and <=85% of SMI,Infant,0,0,0,11,0.0
County,53031,Jefferson County,>85% of SMI,Infant,0,4,4,20,16.7
County,53031,Jefferson County,<=60% of SMI,Preschool,81,7,88,186,32.1
County,53031,Jefferson County,>60% and <=75% of SMI,Preschool,0,2,2,36,5.3
County,53031,Jefferson County,>75% and <=85% of SMI,Preschool,0,0,0,18,0.0
County,53031,Jefferson County,>85% of SMI,Preschool,0,7,7,58,10.8
County,53031,Jefferson County,<=60% of SMI,School Age,8,11,19,1119,1.7
County,53031,Jefferson County,>60% and <=75% of SMI,School Age,,4,,262,
County,53031,Jefferson County,>75% and <=85% of SMI,School Age,0,2,2,157,1.3
County,53031,Jefferson County,>85% of SMI,School Age,,2,,192,
County,53031,Jefferson County,<=60% of SMI,Toddler,16,4,20,197,9.2
County,53031,Jefferson County,>60% and <=75% of SMI,Toddler,0,4,4,22,15.4
County,53031,Jefferson County,>75% and <=85% of SMI,Toddler,0,0,0,23,0.0
County,53031,Jefferson County,>85% of SMI,Toddler,0,6,6,43,12.2
County,53033,King County,<=60% of SMI,Infant,759,337,1096,6291,14.8
County,53033,King County,>60% and <=75% of SMI,Infant,,147,,1555,
County,53033,King County,>75% and <=85% of SMI,Infant,,100,,973,
County,53033,King County,>85% of SMI,Infant,0,3397,3397,10465,24.5
County,53033,King County,<=60% of SMI,Preschool,7725,1170,8895,10285,46.4
County,53033,King County,>60% and <=75% of SMI,Preschool,64,626,690,3802,15.4
County,53033,King County,>75% and <=85% of SMI,Preschool,15,455,470,2339,16.7
County,53033,King County,>85% of SMI,Preschool,52,15593,15645,20714,43.0
County,53033,King County,<=60% of SMI,School Age,5770,2276,8046,47485,14.5
County,53033,King County,>60% and <=75% of SMI,School Age,18,836,854,12574,6.4
County,53033,King County,>75% and <=85% of SMI,School Age,,596,,7481,
County,53033,King County,>85% of SMI,School Age,,18774,,86007,
County,53033,King County,<=60% of SMI,Toddler,3123,829,3952,10790,26.8
County,53033,King County,>60% and <=75% of SMI,Toddler,18,365,383,3084,11.0
County,53033,King County,>75% and <=85% of SMI,Toddler,,285,,1771,
County,53033,King County,>85% of SMI,Toddler,,9909,,17815,
County,53035,Kitsap County,<=60% of SMI,Infant,54,26,80,1200,6.2
County,53035,Kitsap County,>60% and <=75% of SMI,Infant,,16,,365,
County,53035,Kitsap County,>75% and <=85% of SMI,Infant,0,5,5,184,2.6
County,53035,Kitsap County,>85% of SMI,Infant,0,81,81,985,7.6
County,53035,Kitsap County,<=60% of SMI,Preschool,770,163,933,2371,28.2
County,53035,Kitsap County,>60% and <=75% of SMI,Preschool,7,79,86,870,9.0
County,53035,Kitsap County,>75% and <=85% of SMI,Preschool,,49,,490,
County,53035,Kitsap County,>85% of SMI,Preschool,6,478,484,2265,17.6
County,53035,Kitsap County,<=60% of SMI,School Age,367,359,726,8748,7.7
County,53035,Kitsap County,>60% and <=75% of SMI,School Age,,133,,2672,
County,53035,Kitsap County,>75% and <=85% of SMI,School Age,,109,,1700,
County,53035,Kitsap County,>85% of SMI,School Age,,921,,7715,
County,53035,Kitsap County,<=60% of SMI,Toddler,283,102,385,2161,15.1
County,53035,Kitsap County,>60% and <=75% of SMI,Toddler,0,42,42,664,5.9
County,53035,Kitsap County,>75% and <=85% of SMI,Toddler,0,30,30,388,7.2
County,53035,Kitsap County,>85% of SMI,Toddler,0,281,281,1850,13.2
County,53037,Kittitas County,<=60% of SMI,Infant,10,14,24,173,12.2
County,53037,Kittitas County,>60% and <=75% of SMI,Infant,0,5,5,16,23.8
County,53037,Kittitas County,>75% and <=85% of SMI,Infant,0,2,2,8,20.0
County,53037,Kittitas County,>85% of SMI,Infant,0,19,19,102,15.7
County,53037,Kittitas County,<=60% of SMI,Preschool,150,56,206,299,40.8
County,53037,Kittitas County,>60% and <=75% of SMI,Preschool,,9,,60,
County,53037,Kittitas County,>75% and <=85% of SMI,Preschool,0,4,4,11,26.7
County,53037,Kittitas County,>85% of SMI,Preschool,,80,,221,
County,53037,Kittitas County,<=60% of SMI,School Age,65,88,153,1452,9.5
County,53037,Kittitas County,>60% and <=75% of SMI,School Age,0,24,24,384,5.9
County,53037,Kittitas County,>75% and <=85% of SMI,School Age,0,8,8,181,4.2
County,53037,Kittitas County,>85% of SMI,School Age,0,127,127,1116,10.2
County,53037,Kittitas County,<=60% of SMI,Toddler,28,53,81,313,20.6
County,53037,Kittitas County,>60% and <=75% of SMI,Toddler,0,11,11,31,26.2
County,53037,Kittitas County,>75% and <=85% of SMI,Toddler,0,6,6,12,33.3
County,53037,Kittitas County,>85% of SMI,Toddler,,67,,168,
County,53039,Klickitat County,<=60% of SMI,Infant,,3,,111,
County,53039,Klickitat County,>60% and <=75% of SMI,Infant,0,1,1,21,4.5
County,53039,Klickitat County,>75% and <=85% of SMI,Infant,0,0,0,13,0.0
County,53039,Klickitat County,>85% of SMI,Infant,0,3,3,57,5.0
County,53039,Klickitat County,<=60% of SMI,Preschool,82,9,91,200,31.3
County,53039,Klickitat County,>60% and <=75% of SMI,Preschool,,2,,63,
County,53039,Klickitat County,>75% and <=85% of SMI,Preschool,,0,,21,
County,53039,Klickitat County,>85% of SMI,Preschool,0,22,22,130,14.5
County,53039,Klickitat County,<=60% of SMI,School Age,,25,,1045,
County,53039,Klickitat County,>60% and <=75% of SMI,School Age,0,1,1,246,0.4
County,53039,Klickitat County,>75% and <=85% of SMI,School Age,0,1,1,138,0.7
County,53039,Klickitat County,>85% of SMI,School Age,0,9,9,276,3.2
County,53039,Klickitat County,<=60% of SMI,Toddler,14,10,24,200,10.7
County,53039,Klickitat County,>60% and <=75% of SMI,Toddler,0,3,3,48,5.9
County,53039,Klickitat County,>75% and <=85% of SMI,Toddler,0,0,0,17,0.0
County,53039,Klickitat County,>85% of SMI,Toddler,0,12,12,109,9.9
County,53041,Lewis County,<=60% of SMI,Infant,22,18,40,543,6.9
County,53041,Lewis County,>60% and <=75% of SMI,Infant,0,5,5,121,4.0
County,53041,Lewis County,>75% and <=85% of SMI,Infant,0,1,1,54,1.8
County,53041,Lewis County,>85% of SMI,Infant,0,12,12,156,7.1
County,53041,Lewis County,<=60% of SMI,Preschool,526,69,595,975,37.9
County,53041,Lewis County,>60% and <=75% of SMI,Preschool,,33,,293,
County,53041,Lewis County,>75% and <=85% of SMI,Preschool,,18,,122,
County,53041,Lewis County,>85% of SMI,Preschool,,64,,356,
County,53041,Lewis County,<=60% of SMI,School Age,153,102,255,3764,6.3
County,53041,Lewis County,>60% and <=75% of SMI,School Age,0,16,16,817,1.9
County,53041,Lewis County,>75% and <=85% of SMI,School Age,0,7,7,386,1.8
County,53041,Lewis County,>85% of SMI,School Age,0,97,97,1686,5.4
County,53041,Lewis County,<=60% of SMI,Toddler,114,54,168,990,14.5
County,53041,Lewis County,>60% and <=75% of SMI,Toddler,,17,,238,
County,53041,Lewis County,>75% and <=85% of SMI,Toddler,0,5,5,91,5.2
County,53041,Lewis County,>85% of SMI,Toddler,,34,,297,
County,53043,Lincoln County,<=60% of SMI,Infant,0,5,5,77,6.1
County,53043,Lincoln County,>60% and <=75% of SMI,Infant,0,0,0,14,0.0
County,53043,Lincoln County,>75% and <=85% of SMI,Infant,0,0,0,7,0.0
County,53043,Lincoln County,>85% of SMI,Infant,0,0,0,10,0.0
County,53043,Lincoln County,<=60% of SMI,Preschool,75,3,78,139,35.9
County,53043,Lincoln County,>60% and <=75% of SMI,Preschool,,1,,41,
County,53043,Lincoln County,>75% and <=85% of SMI,Preschool,0,2,2,19,9.5
County,53043,Lincoln County,>85% of SMI,Preschool,0,0,0,30,0.0
County,53043,Lincoln County,<=60% of SMI,School Age,,8,,515,
County,53043,Lincoln County,>60% and <=75% of SMI,School Age,0,2,2,109,1.8
County,53043,Lincoln County,>75% and <=85% of SMI,School Age,0,2,2,54,3.6
County,53043,Lincoln County,>85% of SMI,School Age,0,7,7,242,2.8
County,53043,Lincoln County,<=60% of SMI,Toddler,,7,,157,
County,53043,Lincoln County,>60% and <=75% of SMI,Toddler,0,1,1,27,3.6
County,53043,Lincoln County,>75% and <=85% of SMI,Toddler,0,1,1,11,8.3
County,53043,Lincoln County,>85% of SMI,Toddler,0,0,0,24,0.0
County,53045,Mason County,<=60% of SMI,Infant,11,9,20,365,5.2
County,53045,Mason County,>60% and <=75% of SMI,Infant,0,5,5,109,4.4
County,53045,Mason County,>75% and <=85% of SMI,Infant,0,2,2,54,3.6
County,53045,Mason County,>85% of SMI,Infant,0,1,1,123,0.8
County,53045,Mason County,<=60% of SMI,Preschool,276,39,315,695,31.2
County,53045,Mason County,>60% and <=75% of SMI,Preschool,,12,,268,
County,53045,Mason County,>75% and <=85% of SMI,Preschool,0,11,11,134,7.6
County,53045,Mason County,>85% of SMI,Preschool,,23,,301,
County,53045,Mason County,<=60% of SMI,School Age,113,53,166,2438,6.4
County,53045,Mason County,>60% and <=75% of SMI,School Age,0,16,16,782,2.0
County,53045,Mason County,>75% and <=85% of SMI,School Age,0,5,5,432,1.1
County,53045,Mason County,>85% of SMI,School Age,,53,,1335,
County,53045,Mason County,<=60% of SMI,Toddler,66,41,107,655,14.0
County,53045,Mason County,>60% and <=75% of SMI,Toddler,,12,,190,
County,53045,Mason County,>75% and <=85% of SMI,Toddler,0,9,9,123,6.8
County,53045,Mason County,>85% of SMI,Toddler,,18,,222,
County,53047,Okanogan County,<=60% of SMI,Infant,17,14,31,353,8.1
County,53047,Okanogan County,>60% and <=75% of SMI,Infant,0,6,6,39,13.3
County,53047,Okanogan County,>75% and <=85% of SMI,Infant,0,1,1,16,5.9
County,53047,Okanogan County,>85% of SMI,Infant,0,7,7,35,16.7
